model,test_accuracy,weighted_f1,model_size_mb,avg_inference_time_ms,fps
Baseline CNN,75.59948,76.572196,4.9563140869140625,59.83855803807577,16.71163264602218
MobileNetV2,84.672713,84.939332,20.782363891601562,60.29731512069702,16.584486357283104
