model,validation_accuracy,test_accuracy,macro_f1,weighted_f1,training_time_minutes
Baseline CNN,0.6088979244232178,0.7559947967529297,0.752704829484357,0.7657219631884795,11.86705474058787
MobileNetV2,0.8211689591407776,0.8467271327972412,0.8401373143485852,0.8493933155177605,32.0308478474617
EfficientNet-B0,0.7223029732704163,0.8246921300888062,0.8157909109221579,0.8279083836337378,37.56964706977209
