model,validation_accuracy,test_accuracy,macro_f1,weighted_f1,training_time_minutes
Baseline CNN,60.88979244232178,75.59947967529297,75.2704829484357,76.57219631884796,11.86705474058787
MobileNetV2,82.11689591407776,84.67271327972412,84.01373143485851,84.93933155177605,32.0308478474617
EfficientNet-B0,72.23029732704163,82.46921300888062,81.57909109221579,82.79083836337378,37.56964706977209
